condition,trial,believability,behavioural_consistency,memory_coherence,planning_plausibility,response_naturalness,coordination_score,coordination_success,sustainability_score,convergence_speed,collapsed
baseline,trial_0,0.3765,0.7041,0.0,0.0,0.8266,0.033,False,0.588,30,False
baseline,trial_1,0.3714,0.7047,0.0,0.0,0.7996,0.167,False,0.608,30,False
baseline,trial_2,0.3716,0.7047,0.0,0.0,0.8011,0.3,False,0.633,30,False
baseline,trial_3,0.3706,0.7046,0.0,0.0,0.796,0.2,False,0.604,30,False
baseline,trial_4,0.3732,0.7049,0.0,0.0,0.8097,0.367,False,0.637,30,False
baseline,trial_5,0.3681,0.7024,0.0,0.0,0.7862,0.4,False,0.667,30,False
baseline,trial_6,0.3739,0.7037,0.0,0.0,0.8151,0.133,False,0.571,30,False
baseline,trial_7,0.3689,0.7044,0.0,0.0,0.7884,0.333,False,0.646,30,False
baseline,trial_8,0.3761,0.706,0.0,0.0,0.822,0.133,False,0.604,30,False
baseline,trial_9,0.3833,0.7051,0.0,0.0,0.8591,0.1,False,0.579,30,False
full,trial_0,0.638,0.7125,0.6396,0.3766,0.8507,0.316,True,0.658,14,False
full,trial_1,0.6271,0.7145,0.5684,0.3899,0.8669,0.625,True,0.703,3,False
full,trial_2,0.656,0.7115,0.6267,0.4477,0.8688,0.5,True,0.7,5,False
full,trial_3,0.6091,0.7156,0.5258,0.3805,0.84,1.0,True,0.875,0,False
full,trial_4,0.6661,0.7143,0.667,0.4713,0.8374,0.333,False,0.633,30,False
full,trial_5,0.6655,0.7126,0.642,0.4815,0.8545,0.37,True,0.653,22,False
full,trial_6,0.6647,0.714,0.651,0.459,0.8655,0.462,True,0.654,8,False
full,trial_7,0.6533,0.7149,0.638,0.4418,0.8453,0.357,True,0.643,9,False
full,trial_8,0.6365,0.7139,0.5695,0.4477,0.8403,0.667,True,0.667,4,False
full,trial_9,0.648,0.7145,0.6594,0.4122,0.8286,0.1,False,0.579,30,False
memory,trial_0,0.5417,0.7029,0.6655,0.0,0.8226,0.267,False,0.629,30,False
memory,trial_1,0.5539,0.7017,0.6908,0.0,0.8534,0.3,False,0.633,30,False
memory,trial_2,0.5596,0.7034,0.704,0.0,0.8627,0.1,False,0.567,30,False
memory,trial_3,0.5196,0.7031,0.568,0.0,0.8331,0.625,True,0.688,3,False
memory,trial_4,0.5421,0.7031,0.664,0.0,0.8261,0.167,False,0.579,30,False
memory,trial_5,0.5577,0.7034,0.6941,0.0,0.8669,0.033,False,0.554,30,False
memory,trial_6,0.5426,0.7019,0.6581,0.0,0.8384,0.233,False,0.604,30,False
memory,trial_7,0.5618,0.7051,0.7125,0.0,0.8598,0.0,False,0.542,30,False
memory,trial_8,0.5515,0.7034,0.6887,0.0,0.842,0.1,False,0.583,30,False
memory,trial_9,0.5229,0.7029,0.5821,0.0,0.8323,0.667,True,0.722,4,False
memory_planning,trial_0,0.6056,0.7134,0.5299,0.3544,0.8531,0.714,True,0.839,2,False
memory_planning,trial_1,0.6202,0.7069,0.5463,0.404,0.8531,0.625,True,0.719,3,False
memory_planning,trial_2,0.6476,0.7117,0.631,0.4211,0.8551,0.6,True,0.767,10,False
memory_planning,trial_3,0.658,0.7132,0.6531,0.4488,0.843,0.267,False,0.629,30,False
memory_planning,trial_4,0.6654,0.7116,0.6435,0.4805,0.8549,0.556,True,0.681,4,False
memory_planning,trial_5,0.6616,0.7114,0.6237,0.4776,0.8639,0.462,True,0.712,8,False
memory_planning,trial_6,0.6336,0.7131,0.5689,0.4602,0.8122,0.5,True,0.688,5,False
memory_planning,trial_7,0.6594,0.7134,0.6554,0.4529,0.8419,0.3,False,0.629,30,False
memory_planning,trial_8,0.636,0.7145,0.5976,0.4145,0.8438,0.545,True,0.716,6,False
memory_planning,trial_9,0.6435,0.7139,0.5854,0.4294,0.878,0.714,True,0.696,2,False
