condition,trial,believability,behavioural_consistency,memory_coherence,planning_plausibility,response_naturalness,coordination_score,coordination_success,sustainability_score,convergence_speed,collapsed
baseline,trial_0,0.3908,0.7047,0.0,0.0,0.8966,0.0,False,0.5,30,False
baseline,trial_1,0.3887,0.7069,0.0,0.0,0.8838,0.0,False,0.5,30,False
baseline,trial_2,0.3879,0.7074,0.0,0.0,0.8781,0.0,False,0.5,30,False
baseline,trial_3,0.3941,0.7072,0.0,0.0,0.9095,0.0,False,0.5,30,False
baseline,trial_4,0.3892,0.706,0.0,0.0,0.8875,0.0,False,0.5,30,False
baseline,trial_5,0.3921,0.7046,0.0,0.0,0.9041,0.0,False,0.5,30,False
baseline,trial_6,0.3904,0.7072,0.0,0.0,0.8912,0.0,False,0.5,30,False
baseline,trial_7,0.3919,0.7056,0.0,0.0,0.9006,0.0,False,0.5,30,False
baseline,trial_8,0.387,0.7063,0.0,0.0,0.876,0.0,False,0.5,30,False
baseline,trial_9,0.3889,0.707,0.0,0.0,0.8838,0.0,False,0.5,30,False
full,trial_0,0.7114,0.7152,0.7706,0.5028,0.8931,0.0,False,0.5,30,False
full,trial_1,0.6996,0.7181,0.7726,0.4381,0.9081,0.0,False,0.5,30,False
full,trial_2,0.7003,0.7162,0.7873,0.4477,0.8819,0.0,False,0.5,30,False
full,trial_3,0.6993,0.7182,0.7835,0.441,0.8875,0.0,False,0.5,30,False
full,trial_4,0.6892,0.7154,0.7675,0.4017,0.9119,0.0,False,0.5,30,False
full,trial_5,0.6959,0.715,0.7649,0.4414,0.8988,0.0,False,0.5,30,False
full,trial_6,0.717,0.717,0.7734,0.4971,0.9207,0.0,False,0.5,30,False
full,trial_7,0.69,0.7164,0.7765,0.4115,0.8912,0.0,False,0.5,30,False
full,trial_8,0.7059,0.7144,0.7807,0.463,0.9027,0.0,False,0.5,30,False
full,trial_9,0.692,0.717,0.7725,0.419,0.895,0.0,False,0.5,30,False
memory,trial_0,0.5886,0.7041,0.7865,0.0,0.9044,0.0,False,0.5,30,False
memory,trial_1,0.5857,0.7047,0.775,0.0,0.9025,0.0,False,0.5,30,False
memory,trial_2,0.5857,0.7036,0.7913,0.0,0.8838,0.0,False,0.5,30,False
memory,trial_3,0.5832,0.7046,0.7773,0.0,0.8875,0.0,False,0.5,30,False
memory,trial_4,0.5829,0.7037,0.778,0.0,0.8856,0.0,False,0.5,30,False
memory,trial_5,0.5834,0.7052,0.7845,0.0,0.8781,0.0,False,0.5,30,False
memory,trial_6,0.5829,0.7049,0.7786,0.0,0.8835,0.0,False,0.5,30,False
memory,trial_7,0.5871,0.7066,0.7915,0.0,0.8854,0.0,False,0.5,30,False
memory,trial_8,0.5876,0.7045,0.7884,0.0,0.8966,0.0,False,0.5,30,False
memory,trial_9,0.584,0.7041,0.7874,0.0,0.88,0.0,False,0.5,30,False
memory_planning,trial_0,0.6943,0.7145,0.7849,0.4269,0.8856,0.0,False,0.5,30,False
memory_planning,trial_1,0.7035,0.7141,0.7945,0.4299,0.9156,0.0,False,0.5,30,False
memory_planning,trial_2,0.7007,0.7157,0.7924,0.4284,0.9044,0.0,False,0.5,30,False
memory_planning,trial_3,0.6999,0.7164,0.7831,0.4346,0.9025,0.0,False,0.5,30,False
memory_planning,trial_4,0.6996,0.7147,0.7925,0.4283,0.9001,0.0,False,0.5,30,False
memory_planning,trial_5,0.6895,0.7151,0.7948,0.386,0.8987,0.0,False,0.5,30,False
memory_planning,trial_6,0.7114,0.7175,0.7933,0.4587,0.9156,0.0,False,0.5,30,False
memory_planning,trial_7,0.689,0.7156,0.7871,0.4005,0.8873,0.0,False,0.5,30,False
memory_planning,trial_8,0.7193,0.7165,0.7915,0.4764,0.9369,0.0,False,0.5,30,False
memory_planning,trial_9,0.696,0.7153,0.7843,0.416,0.906,0.0,False,0.5,30,False
