condition,trial,believability,behavioural_consistency,memory_coherence,planning_plausibility,response_naturalness,coordination_score,coordination_success,sustainability_score,convergence_speed,collapsed
baseline,trial_0,0.3584,0.5677,0.0,0.0,0.94,0.0,False,0.119,100,False
baseline,trial_1,0.3469,0.5234,0.0,0.0,0.9491,0.0,False,0.116,100,False
baseline,trial_10,0.3499,0.5401,0.0,0.0,0.9381,0.0,False,0.143,100,False
baseline,trial_11,0.3628,0.5938,0.0,0.0,0.9231,0.0,False,0.166,100,False
baseline,trial_12,0.35,0.535,0.0,0.0,0.9474,0.0,False,0.139,100,False
baseline,trial_13,0.3526,0.5516,0.0,0.0,0.9363,0.0,False,0.114,100,False
baseline,trial_14,0.3511,0.5389,0.0,0.0,0.9475,0.0,False,0.151,100,False
baseline,trial_15,0.3274,0.4634,0.0,0.0,0.9417,0.0,False,0.106,100,False
baseline,trial_16,0.3561,0.566,0.0,0.0,0.9305,0.0,False,0.217,100,False
baseline,trial_17,0.3461,0.533,0.0,0.0,0.9306,0.0,False,0.14,100,False
baseline,trial_18,0.3491,0.5361,0.0,0.0,0.9419,0.0,False,0.108,100,False
baseline,trial_19,0.3506,0.552,0.0,0.0,0.925,0.0,False,0.153,100,False
baseline,trial_2,0.3426,0.5131,0.0,0.0,0.9438,0.0,False,0.167,100,False
baseline,trial_3,0.345,0.5199,0.0,0.0,0.9456,0.0,False,0.142,100,False
baseline,trial_4,0.3415,0.5117,0.0,0.0,0.94,0.0,False,0.123,100,False
baseline,trial_5,0.345,0.5168,0.0,0.0,0.9494,0.0,False,0.127,100,False
baseline,trial_6,0.3381,0.51,0.0,0.0,0.925,0.0,False,0.134,100,False
baseline,trial_7,0.3434,0.5128,0.0,0.0,0.9475,0.0,False,0.111,100,False
baseline,trial_8,0.3367,0.4954,0.0,0.0,0.94,0.0,False,0.111,100,False
baseline,trial_9,0.348,0.5242,0.0,0.0,0.953,0.0,False,0.178,100,False
full,trial_0,0.6466,0.6139,0.7015,0.4162,0.9156,0.0,False,0.722,100,False
full,trial_1,0.6772,0.6488,0.6844,0.4852,0.9512,0.1,False,0.813,90,False
full,trial_10,0.6862,0.6504,0.6858,0.5421,0.9212,0.98,True,0.975,2,False
full,trial_11,0.6856,0.6553,0.678,0.5395,0.9231,0.65,False,0.921,35,False
full,trial_12,0.69,0.6691,0.6826,0.5345,0.925,0.86,True,0.973,15,False
full,trial_13,0.6737,0.6477,0.6845,0.4889,0.9295,0.77,True,0.966,23,False
full,trial_14,0.6706,0.6454,0.6891,0.4676,0.9381,0.49,False,0.884,51,False
full,trial_15,0.6879,0.6685,0.6884,0.5215,0.925,0.73,True,0.95,27,False
full,trial_16,0.6583,0.6526,0.6785,0.4437,0.909,0.8,True,0.96,21,False
full,trial_17,0.69,0.6491,0.6969,0.5414,0.9287,0.88,True,0.957,12,False
full,trial_18,0.667,0.651,0.6977,0.446,0.9287,0.58,False,0.886,42,False
full,trial_19,0.6911,0.684,0.7114,0.4866,0.9325,0.98,True,0.994,2,False
full,trial_2,0.6743,0.6103,0.7127,0.5109,0.9269,0.99,True,0.97,1,False
full,trial_3,0.6979,0.6626,0.686,0.5625,0.9344,0.0,False,0.849,100,False
full,trial_4,0.6929,0.6532,0.6975,0.5485,0.9269,0.83,True,0.952,17,False
full,trial_5,0.6908,0.6657,0.6916,0.5306,0.9269,0.93,True,0.984,2,False
full,trial_6,0.6911,0.6614,0.6946,0.5365,0.925,0.94,True,0.95,6,False
full,trial_7,0.688,0.6817,0.677,0.5011,0.9456,0.81,True,0.972,19,False
full,trial_8,0.6905,0.6726,0.7082,0.4982,0.9362,0.95,True,0.987,5,False
full,trial_9,0.7003,0.6609,0.6815,0.5765,0.9381,0.91,True,0.954,12,False
memory,trial_0,0.5524,0.6754,0.6588,0.0,0.925,0.0,False,0.152,100,False
memory,trial_1,0.5599,0.6746,0.6496,0.0,0.9756,0.0,False,0.151,100,False
memory,trial_10,0.5483,0.6586,0.6642,0.0,0.9231,0.0,False,0.391,100,False
memory,trial_11,0.5329,0.6646,0.6122,0.0,0.9025,0.0,False,0.397,100,False
memory,trial_12,0.5445,0.6314,0.6574,0.0,0.9545,0.41,False,0.403,44,False
memory,trial_13,0.545,0.6661,0.6408,0.0,0.9248,0.0,False,0.148,100,False
memory,trial_14,0.541,0.6766,0.5993,0.0,0.9419,0.0,False,0.243,100,False
memory,trial_15,0.5234,0.643,0.568,0.0,0.9416,0.0,False,0.223,100,False
memory,trial_16,0.5311,0.6611,0.5821,0.0,0.9363,0.0,False,0.322,100,False
memory,trial_17,0.5507,0.6486,0.6744,0.0,0.9381,0.0,False,0.141,100,False
memory,trial_18,0.5471,0.6705,0.641,0.0,0.9287,0.0,False,0.15,100,False
memory,trial_19,0.5535,0.656,0.6654,0.0,0.9512,0.0,False,0.391,100,False
memory,trial_2,0.5446,0.6733,0.6386,0.0,0.9156,0.0,False,0.404,100,False
memory,trial_3,0.5035,0.5545,0.6048,0.0,0.9303,0.9,True,0.855,10,False
memory,trial_4,0.5404,0.6564,0.6449,0.0,0.9119,0.0,False,0.145,100,False
memory,trial_5,0.5427,0.6631,0.636,0.0,0.9231,0.0,False,0.148,100,False
memory,trial_6,0.5471,0.6667,0.6375,0.0,0.9381,0.0,False,0.148,100,False
memory,trial_7,0.5614,0.6655,0.6794,0.0,0.9587,0.0,False,0.148,100,False
memory,trial_8,0.5393,0.648,0.6364,0.0,0.9287,0.0,False,0.173,100,False
memory,trial_9,0.5594,0.6809,0.6723,0.0,0.9344,0.0,False,0.153,100,False
memory_planning,trial_0,0.6354,0.6199,0.5853,0.4634,0.9362,0.95,True,0.941,5,False
memory_planning,trial_1,0.6575,0.6209,0.6606,0.4611,0.9531,0.0,False,0.251,100,False
memory_planning,trial_10,0.6851,0.6401,0.6746,0.5395,0.9475,0.0,False,0.219,100,False
memory_planning,trial_11,0.6839,0.6474,0.6901,0.5284,0.925,0.0,False,0.311,100,False
memory_planning,trial_12,0.6688,0.6103,0.6795,0.5236,0.925,0.0,False,0.246,100,False
memory_planning,trial_13,0.6591,0.6185,0.6816,0.4671,0.9324,0.0,False,0.253,100,False
memory_planning,trial_14,0.674,0.6837,0.6654,0.4828,0.91,0.0,False,0.401,100,False
memory_planning,trial_15,0.6479,0.5366,0.6109,0.5876,0.9365,0.75,True,0.128,25,False
