condition,trial,believability,behavioural_consistency,memory_coherence,planning_plausibility,response_naturalness,coordination_score,coordination_success,sustainability_score,convergence_speed,collapsed
baseline,trial_0,0.3881,0.6911,0.0,0.0,0.9041,0.0,False,0.025,30,False
baseline,trial_1,0.3844,0.6913,0.0,0.0,0.8846,0.0,False,0.029,30,False
baseline,trial_2,0.3864,0.6914,0.0,0.0,0.8948,0.0,False,0.017,30,False
baseline,trial_3,0.3815,0.6924,0.0,0.0,0.8685,0.0,False,0.029,30,False
baseline,trial_4,0.3831,0.6911,0.0,0.0,0.8784,0.0,False,0.029,30,False
baseline,trial_5,0.3854,0.6922,0.0,0.0,0.8881,0.0,False,0.021,30,False
baseline,trial_6,0.3885,0.693,0.0,0.0,0.9025,0.0,False,0.029,30,False
baseline,trial_7,0.3836,0.6925,0.0,0.0,0.879,0.0,False,0.037,30,False
baseline,trial_8,0.3819,0.6894,0.0,0.0,0.8759,0.0,False,0.05,30,False
baseline,trial_9,0.3821,0.6907,0.0,0.0,0.8749,0.0,False,0.017,30,False
full,trial_0,0.6696,0.7111,0.6783,0.4128,0.9175,0.833,True,0.917,1,False
full,trial_1,0.6804,0.7136,0.6879,0.4427,0.9181,0.833,True,0.917,1,False
full,trial_2,0.6718,0.7159,0.673,0.4349,0.9006,0.833,True,0.917,1,False
full,trial_3,0.6647,0.7139,0.6816,0.3841,0.9213,0.833,True,0.917,1,False
full,trial_4,0.66,0.711,0.6789,0.3809,0.9087,0.833,True,0.917,1,False
full,trial_5,0.6741,0.7123,0.6808,0.4214,0.9244,0.833,True,0.917,1,False
full,trial_6,0.6558,0.7122,0.6811,0.3563,0.9144,0.833,True,0.917,1,False
full,trial_7,0.6548,0.7096,0.6837,0.3486,0.9181,0.833,True,0.917,1,False
full,trial_8,0.6759,0.7126,0.676,0.4466,0.9062,0.833,True,0.896,1,False
full,trial_9,0.6691,0.7125,0.6826,0.4134,0.9069,0.833,True,0.917,1,False
memory,trial_0,0.566,0.6992,0.6865,0.0,0.9231,0.833,True,0.917,1,False
memory,trial_1,0.5575,0.7002,0.6674,0.0,0.9019,0.833,True,0.917,1,False
memory,trial_2,0.5601,0.6995,0.6843,0.0,0.8956,0.833,True,0.917,1,False
memory,trial_3,0.5597,0.7007,0.6807,0.0,0.8969,0.833,True,0.917,1,False
memory,trial_4,0.558,0.6971,0.6769,0.0,0.8981,0.833,True,0.917,1,False
memory,trial_5,0.5618,0.6997,0.6825,0.0,0.9069,0.833,True,0.917,1,False
memory,trial_6,0.5645,0.7,0.684,0.0,0.9169,0.833,True,0.917,1,False
memory,trial_7,0.561,0.7029,0.6819,0.0,0.8981,0.833,True,0.917,1,False
memory,trial_8,0.5593,0.6997,0.6829,0.0,0.8931,0.833,True,0.917,1,False
memory,trial_9,0.5605,0.6997,0.6864,0.0,0.8944,0.833,True,0.917,1,False
memory_planning,trial_0,0.682,0.7137,0.6799,0.4705,0.9006,0.833,True,0.896,1,False
memory_planning,trial_1,0.6683,0.7122,0.6704,0.4211,0.9081,0.833,True,0.917,1,False
memory_planning,trial_2,0.6761,0.7167,0.6819,0.4314,0.915,0.833,True,0.896,1,False
memory_planning,trial_3,0.6614,0.7123,0.6829,0.3961,0.8894,0.833,True,0.917,1,False
memory_planning,trial_4,0.6779,0.7107,0.6801,0.4346,0.93,0.833,True,0.917,1,False
memory_planning,trial_5,0.67,0.7126,0.686,0.417,0.9019,0.833,True,0.917,1,False
memory_planning,trial_6,0.6534,0.7129,0.6764,0.356,0.9081,0.833,True,0.917,1,False
memory_planning,trial_7,0.6597,0.7116,0.6901,0.3731,0.9025,0.833,True,0.917,1,False
memory_planning,trial_8,0.6739,0.7149,0.684,0.4284,0.9069,0.833,True,0.917,1,False
memory_planning,trial_9,0.6691,0.7124,0.672,0.4339,0.895,0.833,True,0.875,1,False
full_llm_reflection,trial_0,0.6668,0.7121,0.6815,0.4049,0.9081,0.833,True,0.917,1,False
full_llm_reflection,trial_1,0.6761,0.7162,0.6839,0.4185,0.9287,0.833,True,0.896,1,False
full_llm_reflection,trial_2,0.6709,0.7122,0.6869,0.4151,0.9087,0.833,True,0.896,1,False
full_llm_reflection,trial_3,0.6576,0.7162,0.6779,0.3745,0.8988,0.833,True,0.917,1,False
full_llm_reflection,trial_4,0.6697,0.7141,0.6824,0.4015,0.9231,0.833,True,0.917,1,False
full_llm_reflection,trial_5,0.6731,0.7137,0.6835,0.4286,0.905,0.833,True,0.917,1,False
full_llm_reflection,trial_6,0.6593,0.715,0.6766,0.3655,0.9213,0.833,True,0.896,1,False
full_llm_reflection,trial_7,0.657,0.7159,0.6555,0.3901,0.9031,0.833,True,0.875,1,False
full_llm_reflection,trial_8,0.6833,0.7146,0.6939,0.451,0.9136,0.714,True,0.875,2,False
full_llm_reflection,trial_9,0.6811,0.7161,0.6744,0.4666,0.905,0.833,True,0.917,1,False
